counter_rating,counter_subscribers,info,link,name,tags
37243,28.9,Тестирование светодиодных ламп,https://habr.com/ru/company/lamptest/,LampTest,"Гаджеты,Энергия и элементы питания,Умный дом,Производство и разработка электроники,Разработка веб-сайтов"
253562,26.9,VDS/VPS-хостинг. Скидка 10% по коду HABR,https://habr.com/ru/company/ruvds/,RUVDS.com,"Разработка веб-сайтов,JavaScript,Лайфхаки для гиков,Системное администрирование,Программирование"
32283,29.4,IT’s Tinkoff — просто о сложном,https://habr.com/ru/company/tinkoff/,TINKOFF,"JavaScript,Angular,Разработка веб-сайтов,TypeScript,Open source"
30519,29.3,Собираем безумных людей и вместе спасаем интернет,https://habr.com/ru/company/itsumma/,ITSumma,"Информационная безопасность,Open source,Серверное администрирование,Софт,Законодательство в IT"
30224,641.0,Лидер в онлайн образовании,https://habr.com/ru/company/englishdom/,Онлайн школа EnglishDom,"Изучение языков,Читальный зал,Локализация продуктов,Искусственный интеллект,Игры и игровые приставки"
36805,36.8,Конференции Олега Бунина,https://habr.com/ru/company/oleg-bunin/,Конференции Олега Бунина (Онтико),"Конференции,Управление разработкой,Программирование,Разработка веб-сайтов,Управление проектами"
31650,1.9,Сервис развития карьеры в IT,https://habr.com/ru/company/habr_career/,Хабр Карьера,"Карьера в IT-индустрии,Управление персоналом,Исследования и прогнозы в IT,Удалённая работа,Хабр"
32686,55.3,У нас живут ваши объявления,https://habr.com/ru/company/avito/,Авито,"Разработка мобильных приложений,Конференции,Разработка под Android,Управление разработкой,Go"
41727,361.0,Место силы,https://habr.com/ru/company/domclick/,ДомКлик,"Программирование,JavaScript,Разработка веб-сайтов,Python,Node.JS"
52985,48.8,Цифровые навыки от ведущих экспертов,https://habr.com/ru/company/otus/,OTUS,"Программирование,Машинное обучение,Big Data,JavaScript,Java"
49182,24.8,Ведущая многопрофильная группа ИТ-компаний в РФ,https://habr.com/ru/company/lanit/,ГК ЛАНИТ,"Конференции,Управление персоналом,Машинное обучение,Информационная безопасность,Управление проектами"
50364,3.1,Конференции для программистов и сочувствующих. 18+,https://habr.com/ru/company/jugru/,JUG Ru Group,"Конференции,Программирование,Java,.NET,Тестирование IT-систем"
73281,445.0,Школа Computer Science. Скидка 10% по коду HABR,https://habr.com/ru/company/skillfactory/,SkillFactory,"Учебный процесс в IT,Программирование,Машинное обучение,Python,Научно-популярное"
53023,90000.0,Строим Интернет,https://habr.com/ru/company/mailru/,Mail.ru Group,"Программирование,DevOps,Учебный процесс в IT,Kubernetes,Tarantool"
142704,20.5,ИТ-инфраструктура для бизнеса,https://habr.com/ru/company/selectel/,Selectel,"Компьютерное железо,Будущее здесь,Гаджеты,Софт,Научно-популярное"
28847,50.9,Tutu.ru — сервис путешествий №1 в России.,https://habr.com/ru/company/tuturu/,Туту.ру,"Транспорт,Управление проектами,Здоровье,Биотехнологии,Научно-популярное"
49758,90.6,Как мы делаем Яндекс,https://habr.com/ru/company/yandex/,Яндекс,"Машинное обучение,Разработка веб-сайтов,Алгоритмы,Интерфейсы,Python"
27874,24.1,Обеспечиваем стабильную работу highload-проектов.,https://habr.com/ru/company/southbridge/,Southbridge,"Системное администрирование,DevOps,Серверное администрирование,Kubernetes,Управление проектами"
